team,division,district,nickname,color1,color2,color3,color4,score
White Cloud,3,69,Chiefs,Red , Black,,,61
White Pigeon,4,116,Chiefs,Red , Black,,,100
Benzie Central,3,70,Huskies,Red , White,,,100
Manistee,3,70,Chippewas,Navy , Gold,,,100
Manton,3,70,Rangers,Orange , Black,,,100
Traverse City Christian,3,70,Sabres,Maroon,White,Black,,100
Traverse City St Francis,3,70,Gladiators,Navy , Vegas Gold,,,100
Beaverton,3,71,Beavers,Red , White,,,100
Oscoda,3,71,Owls,Royal Blue , White,,,100
Pinconning,3,71,Spartans,Green , White,,,100
Standish-Sterling,3,71,Panthers,Blue,White,Gold,,100
Tawas,3,71,Braves,Red , White,,,100
Clare,3,72,Pioneers,Green , White,,,100
Evart,3,72,Wildcats,Royal Blue , Gold,,,100
Vassar,3,95,Wildcats,Royal Blue , Gold,,,55
Harrison,3,72,Hornets,Blue , Gold,,,100
LeRoy Pine River,3,72,Bucks,Green , White,,,100
Reed City,3,72,Coyotes,Red , Black,,,100
Remus Chippewa Hills,3,72,Warriors,Royal,Red,White,,100
Bangor,3,73,Vikings,Scarlet , White,,,100
Bloomingdale,3,73,Cardinals,Red , White,,,100
Coloma,3,73,Comets,Forest Green , Gold,,,100
Climax-Scotts,3,74,Panthers,Blue , Gold,,,100
Comstock,3,74,Colts,Carolina Blue , White,,,100
Galesburg-Augusta,3,74,Rams,Cardinal , Gold,,,100
Kalamazoo Christian,3,74,Comets,Purple , Gold,,,100
Parchment,3,74,Panthers,Maroon , White,,,100
Fennville,3,75,Blackhawks,Black , Orange,,,100
Grand Rapids Covenant Christian,3,75,Chargers,Black , Gold,,,100
Grandville Calvin Christian,3,75,Squires,Green , Gold,,,100
Holland Black River,3,75,Rats,Black , Hunter Green,,,100
Saugatuck,3,75,Indians,Royal Blue , Orange,,,100
Kent City,3,76,Eagles,Scarlet , White,,,100
Montague,3,76,Wildcats,Royal , White,,,100
North Muskegon,3,76,Norsemen,Blue , Gold,,,100
Ravenna,3,76,Bulldogs,Royal Blue , White,,,100
Chesaning,3,77,Indians,Orange , Black,,,100
Hemlock,3,77,Huskies,Navy , White,,,100
Ovid-Elsie,3,77,Marauders,Blue , Gold,,,100
St Louis,3,77,Sharks,Red , Black,,,100
Bath,3,78,Fighting Bees,Royal Blue,White,Gray,,100
Byron,3,78,Eagles,Purple , Gold,,,100
Durand,3,78,Railroaders,Blue , White,,,100
Perry,3,78,Ramblers,Red , White,,,100
Delton Kellogg,3,79,Panthers,Maroon , White,,,100
Lansing Catholic,3,79,Cougars,Columbia Blue , Silver,,,100
Pewamo-Westphalia,3,79,Pirates,Blue , Gold,,,100
Springport,3,79,Spartans,Royal Blue , White,,,100
Vermontville Maple Valley,3,79,Tigers,Blue , Gold,,,53
Central Montcalm,3,80,Hornets,Green , White,,,100
Grand Rapids NorthPointe Christian,3,80,Mustangs,Royal,White,Gold,,100
