Division,Host / Field Name,Plot Note,Map Link MHSAA,District_#,District Host?,Regional Host?,Column8
Division,Host,,Location,District,District Host ,,
Division 1,Warriors Park - Troy -,y,http://maps.google.com/maps?q=Warriors+Park+1525+Equity+Dr.++Troy%2c+MI+,,,y,not done
Division 1,Hamtramck KEYWORTH STADIUM / PLAYFAIR PARK (Baseball Diamond) -,y,http://maps.google.com/maps?q=Hamtramck+KEYWORTH+STADIUM+%2f+PLAYFAIR+PARK+3201+Roosevelt+(%40+Gallagher)++Hamtramck%2c+MI+48212,,,y,have both parks on property plotes historic htmk park + this on
Division 1,Wayne State University - Detroit -,y,http://maps.google.com/maps?q=Wayne+State+University+5101+John+C+Lodge++Detroit%2c+MI+48208,,,y,x
Division 1,Lakeland HS - Baseball - White Lake -,y,http://maps.google.com/maps?q=Lakeland+HS+-+Baseball+1630+Bogie+Lake+Road++White+Lake%2c+MI+,,,y,x
Division 1,Stevenson High School - Sterling Heights -,y,http://maps.google.com/maps?q=Stevenson+High+School+39701+Dodge+Park+Rd.++Sterling+Heights%2c+MI+,,,y,x
Division 1,Oxford High School - Baseball -,y,http://maps.google.com/maps?q=Oxford+High+School+-+Baseball+745+N.+Oxford+Rd++Oxford%2c+MI+,,,y,x
Division 1,Auburn Hills Avondale -,y,http://maps.google.com/maps?q=Auburn+Hills+Avondale+2800+Waukegan++Auburn+Hills%2c+MI+48326,,,y,x
Division 1,St Clair County Community College (Sanborn Park - Skippers Baseball Field) - Port Huron -,y,http://maps.google.com/maps?q=St+Clair+County+Community+College+1919+Sanborn+St++Port+Huron%2c+MI+48060,,,y,x
Division 1,Livonia Franklin -,y,http://maps.google.com/maps?q=Livonia+Franklin+31000+Joy+Rd++Livonia%2c+MI+48150,,,y,d
Division 1,DeWitt High School (Baseball Diamond) -,y,http://maps.google.com/maps?q=DeWitt+High+School+2957+West+Herbison+Road++DeWitt%2c+MI+48820,,,y,d
Division 1,Northville High School - Baseball -,y,http://maps.google.com/maps?q=Northville+High+School+-+Baseball+45700+W.+Six+Mile+Rd.++Northville%2c+MI+,,,y,x
