Division,District Host?,Regional Host?,district number,Host / Field Name,Plot Note,Map Link MHSAA,District_#,SF-FNL-HOST
Division 1,,y,,Grandville High School - Baseball -,y,http://maps.google.com/maps?q=Grandville+High+School+-+Baseball+4700+Canal+SW++Grandville%2c+MI+,,
Division 1,,y,,H H Dow High School - Baseball - Midland  -,y,http://maps.google.com/maps?q=H+H+Dow+High+School+-+Baseball+3901+N.+Saginaw+Rd.++Midland+%2c+MI+,,
Division 1,,y,,Portage Northern HS - Baseball -,y,http://maps.google.com/maps?q=Portage+Northern+HS+-+Baseball+1000+Idaho+Street++Portage%2c+MI+,,
Division 1,,y,,Mona Shores Baseball Field (Baseball Field) - Muskegon -,y,http://maps.google.com/maps?q=Mona+Shores+Baseball+Field+1121+W.+Seminole+Rd.++Muskegon%2c+MI+,,
Division 1,,y,,CMU - Mt Pleasant -,y,http://maps.google.com/maps?q=CMU+West+Campus+Drive++Mt+Pleasant%2c+MI+48859,,
Division 2,,y,,Berrien Springs High School - Baseball - berrien springs -,y,http://maps.google.com/maps?q=Berrien+Springs+High+School+-+Baseball+one+sylvester+ave++berrien+springs%2c+MI+,,
Division 2,,y,,Thornapple Kellogg High School - Baseball - Middleville -,y,http://maps.google.com/maps?q=Thornapple+Kellogg+High+School+-+Baseball+3885+Bender++Middleville%2c+MI+,,
Division 2,,y,,lakewood high school lake odessa - Baseball -,y,http://maps.google.com/maps?q=lakewood+high+school+lake+odessa+-+Baseball+7223+velte+rd++lake+odessa%2c+MI+,,
Division 2,,y,,Hamilton HS -,y,http://maps.google.com/maps?q=Hamilton+HS+4911+136th+Ave++Hamilton%2c+MI+49419,,
Division 2,,y,,Kalamazoo College -,y,http://maps.google.com/maps?q=Kalamazoo+College+1015+Academy+St++Kalamazoo%2c+MI+49006,,
Division 2,,y,,Gehringer Field - Baseball - Fowlerville -,y,http://maps.google.com/maps?q=Gehringer+Field+-+Baseball+7677+Sharp+Road++Fowlerville%2c+MI+,,
Division 2,,y,,Richmond Baseball Facility -,y,http://maps.google.com/maps?q=Richmond+Baseball+Facility+35320+Division++Richmond+%2c+MI+,,
Division 2,,y,,Conlee Field - Clio -,y,http://maps.google.com/maps?q=Conlee+Field+1+Mustang+Drive++Clio%2c+MI+,,
Division 2,,y,,Goodrich High School - Baseball -,y,http://maps.google.com/maps?q=Goodrich+High+School+-+Baseball+8029+S.+Gale++Goodrich%2c+MI+,,
Division 2,,y,,SVSU (Baseball Diamond) - Saginaw -,y,http://maps.google.com/maps?q=SVSU+7300+Davis+Rd++Saginaw%2c+MI+48604,,
Division 2,,y,,Clarenceville High School - Livonia (Baseball Field Behind HS) -,y,http://maps.google.com/maps?q=Clarenceville+High+School+-+Livonia+20155+Middlebelt+Rd.++Livonia%2c+MI+48152-2092,,
Division 2,,y,,Mason -,y,http://maps.google.com/maps?q=Mason+1001+S+Barnes+St++Mason%2c+MI+48854,,
