school_name,school_abrv,school_nickname,street_address,city,state,zip_code,ncaa_member_since,hbcu_status,public_private_status,head_coach,division,conference
"California State University, Northridge",CSUN,Matadors,18111 Nordhoff St.,Northridge,CA,91330,9/1/1958,No,Public,Eddie Cornejo,I,Big West Conference
"California State University, Sacramento",CSUS,Hornets,6000 J Street,Sacramento,CA,95819-6099,9/1/1956,No,Public,Reggie Christiansen,I,Western Athletic Conference
"California State University, Stanislaus",STAN,Warriors,One University Circle,Turlock,CA,95382-0299,9/1/1975,No,Public,Kenny Leonesio,II,California Collegiate Athletic Association
"University of California, Santa Barbara",UCSB,Gauchos,5221 Cheadle Hall,Santa Barbara,CA,93106,9/1/1947,No,Public,Andrew Checketts,I,Big West Conference
California Lutheran University,CLU,"Kingsmen, Regals",60 W. Olsen Road,Thousand Oaks,CA,91360-2787,9/1/1985,No,Private,Marty Slimak,III,Southern California Intercollegiate Athletic Conf.
"Pennsylvania Western University, California",Cal U,Vulcans,250 University Avenue,California,PA,15419,9/1/1968,No,Public,Mike Conte,II,Pennsylvania State Athletic Conference
"University of California, Berkeley",Cal,Golden Bears,200 California Hall,Berkeley,CA,94720,9/1/1929,No,Public,Mike Neu,I,Pac-12 Conference
"University of California, Davis",UCD,Aggies,1 Shields Ave,Davis,CA,95616,9/1/1929,No,Public,Tommy Nicholson,I,Big West Conference
"University of California, Irvine",UCI,Anteaters,501 Aldrich Hall,Irvine,CA,92697,9/1/1967,No,Public,Ben Orloff,I,Big West Conference
"University of California, Los Angeles",UCLA,Bruins,405 Hilgard Ave,Los Angeles,CA,90095,9/1/1929,No,Public,John Savage,I,Pac-12 Conference
"University of California, Riverside",UCR,Highlanders,"University of California, Riverside",900 University Ave,Riverside,CA,9/1/1956,No,Public,Justin Johnson,I,Big West Conference
"University of California, San Diego",UCSD,Tritons,9500 Gilman Dr,San Diego,CA,92093,9/1/1968,No,Public,Eric Newman,I,Big West Conference
Campbell University,CU,Fighting Camels/Camels,143 Main St,Buies Creek,NC,27506,9/1/1976,No,Private,Justin Haire,I,Big South Conference
