date,away_team,home_team,game_info,away_team_runs,away_team_hits,away_team_errors,home_team_runs,home_team_hits,home_team_errors,game_id
2016-03-04,Sacred Heart,Louisiana,,0.0,5.0,0.0,8.0,12.0,0.0,
2016-03-04,UCF,Rice,,3.0,3.0,2.0,4.0,8.0,1.0,
2016-03-04,Yale,Texas A&M,,5.0,3.0,0.0,12.0,13.0,1.0,
2016-03-04,Gonzaga,TCU,,4.0,10.0,0.0,3.0,7.0,0.0,
2016-03-04,Fordham,LSU,,1.0,10.0,3.0,12.0,11.0,2.0,
2016-03-04,Oklahoma,USC,,4.0,9.0,1.0,5.0,9.0,2.0,
2016-03-04,Tennessee,Maryland,Keith LeClair Classic ,9.0,9.0,0.0,10.0,14.0,1.0,
2016-03-04,Fairfield,North Carolina,,3.0,9.0,2.0,4.0,11.0,2.0,
2016-03-04,Princeton,Louisville,,2.0,6.0,0.0,4.0,9.0,1.0,
2016-03-04,Eastern Illinois,Arkansas,,2.0,8.0,1.0,5.0,8.0,0.0,
2016-03-04,Wright State,Georgia,,3.0,7.0,1.0,4.0,6.0,1.0,
2016-03-04,Alabama,Notre Dame,USA BASEBALL-IRISH CLASSIC AT CARY NC,4.0,6.0,1.0,0.0,6.0,0.0,
2016-03-04,St. John's,Florida State,,1.0,5.0,6.0,19.0,17.0,0.0,
2016-03-04,UIC,Missouri,,4.0,10.0,2.0,7.0,9.0,2.0,
2016-03-04,Manhattan,Miami,,0.0,3.0,1.0,10.0,18.0,0.0,
2016-03-04,California,Texas,,4.0,10.0,0.0,3.0,9.0,1.0,
