School,Nickname,Color1,Color2,Color3,Color4
Paw Paw,Redskins,Red , White,,
Peck,Pirates,Red , White,,
Pellston,Hornets,Brown , Gold,,
Pentwater,Falcons,Purple , Gold,,
Perry,Ramblers,Red , White,,
Petersburg Summerfield,Bulldogs,Black , Orange,,
Petoskey,Northmen,Blue , White,,
Petoskey St Michael Academy,Guardians,Purple , Gold,,
Pewamo-Westphalia,Pirates,Blue , Gold,,
Pickford,Panthers,Purple , White,,
Pinckney,Pirates,Red,Black,White,
Pinconning,Spartans,Green , White,,
Pittsford,Wildcats,Blue , White,,
Plainwell,Trojans,Royal Blue , White,,
Plymouth,Wildcats,Black , Silver,,
Plymouth Christian Academy,Eagles,Purple,Gold,,
Pontiac,Phoenix,Purple,Black,Silver,
Pontiac Academy for Excellence,Eagles,Burgundy,Gold,Black,
Pontiac Arts & Technology Academy,Lions,Blue , Gold,,
Pontiac Notre Dame Prep,Fighting Irish,Forest Green,Vegas Gold,White,
Port Huron,Big Reds,Red , White,,
Port Huron Northern,Huskies,Blue , Gold,,
Portage Central,Mustangs,Blue , Gold,,
Portage Northern,Huskies,Brown , White,,
Portland,Raiders,Cardinal Red , White,,
Portland St Patrick,Shamrocks,Green , White,,
Posen,Vikings,Red , White,,
Potterville,Vikings,Maroon , Gold,,
Powers North Central,Jets,Red,Black,White,
Quincy,Orioles,Black , Orange,,
Rapid River,Rockets,Purple , Gold,,
Ravenna,Bulldogs,Royal Blue , White,,
