school_id,school_name,students,enrollment,division
2322,Dearborn Riverside Academy-West,300,300,C
1054,Brighton - Charyl Stockwell Prep Academy,299,299,C
9134,Detroit - Loyola HS,149,298,D
6345,Saginaw - Valley Lutheran HS,298,298,C
7624,McBain - Mc Bain HS,297,297,C
6312,Pewamo-Westphalia HS,296,296,C
9876,Detroit Community HS,295,295,C
1511,Madison Heights - Bishop Foley Catholic HS,293,293,C
7228,Springport HS,293,293,C
1058,Detroit - Dr Benjamin Carson HS for Science & Medicine,292,292,C
3664,New Lothrop HS,292,292,C
4076,Grand Rapids - NorthPointe Christian HS,291,291,C
7351,Lawton HS,290,290,C
7161,Roscommon HS,289,289,C
7574,Hesperia Community HS,286,286,C
7764,Charlevoix HS,283,283,C
4514,Memphis HS,281,281,C
6444,Elkton-Pigeon-Bay Port Laker HS,280,280,C
1115,East Jordan HS,279,279,C
5223,Saranac HS,279,279,C
2575,Grandville - Calvin Christian HS,278,278,C
1192,Detroit - Cornerstone Lincoln King Academy HS,278,278,C
7087,Manton HS,275,275,C
8093,Burton - Bentley HS,274,274,C
4002,Evart HS,274,274,C
1153,Hope of Detroit Academy HS,274,274,C
1263,Holland - Black River HS,273,273,C
1156,Vermontville - Maple Valley HS,272,272,C
4828,Reese HS,271,271,C
6403,Byron Area HS,270,270,C
7384,Hudson Area HS,269,269,C
3292,Vassar HS,269,269,C
1073,Cass City HS,268,268,C
2212,Iron Mountain HS,268,268,C
1924,Sand Creek HS,265,265,C
2880,Saugatuck HS,263,263,C
5108,Potterville HS,262,262,C
2955,Farwell Area HS,261,261,C
1676,Centreville HS,260,260,C
1196,Detroit - The School at Marygrove,258,258,C
3755,Ottawa Lake - Whiteford HS,257,257,C
5520,Harbor Springs HS,256,256,C
5017,Burton - Atherton HS,254,254,C
2600,Gwinn HS,254,254,C
3243,Bridgman HS,250,250,C
6675,Brown City HS,248,248,C
3037,Addison HS,247,247,C
2014,Maple City - Glen Lake HS,247,247,C
6246,White Cloud HS,245,245,C
2245,Manistique HS,244,244,C
5776,Cassopolis - Ross Beatty HS,244,244,C
5132,Dansville HS,243,243,C
3490,Muskegon - Western Michigan Christian HS,243,243,C
4316,Riverview - Gabriel Richard HS,241,241,C
4613,Royal Oak - Shrine Catholic HS,241,241,C
2526,Jackson - Vandercook Lake HS,241,241,C
4407,Holton HS,240,240,C
