PopularName_Score,ProperName_Score,MHSAA_SchoolId,SchoolInfo_Index,Matched_School_Name
60,58,4332,751,llcarenac campus
56,67,4333,1250,way watervliet high school
57,71,4334,526,hartford high school
50,67,4335,49,armada high school
44,52,4336,787,marquette branch prison
62,74,4337,908,northville high school
50,56,4338,417,flex high burton
64,72,4339,70,bark riverharris jrsr high school
57,59,4340,384,edison
64,69,4341,1366,genesee academy
57,71,4342,1351,detroit cristo rey high school
57,71,4343,869,negaunee high school
54,76,4344,340,detroit public safety academy
61,53,4345,1234,warren woods adult education
67,67,4346,72,bates
45,77,4347,731,lincoln school
70,74,4348,171,camdenfrontier k12 school
62,53,4349,206,cassopolis high school
62,74,4350,406,farmington high school
68,78,4351,370,east kentwood high school
52,71,4352,741,link learning lakeview
67,78,4353,1369,grand rapids christian high school
50,64,4354,856,mt pleasant senior high school
74,73,4355,323,dearborn high school
48,73,4356,1233,warren mott high school
54,69,4357,879,newaygo high school
56,73,4358,1127,stevenson high school
65,74,4359,105,benzie central sr high school
52,67,4360,1059,rudyard area schools
59,68,4361,1287,white pigeon jrsr high school
68,83,4362,830,mid peninsula school
60,73,4363,509,hamtramck high school
51,88,4364,392,ellsworth community school
74,83,4365,796,mason county central hs
60,70,4366,1401,lutheran high school north
55,85,4367,894,north edbridgeway
47,53,4368,1082,shared time
73,67,4369,72,bates
54,69,4370,831,midland high school
50,67,4371,931,okemos high school
50,67,4372,426,fowler high school
45,64,4373,1051,romeo high school
52,67,4374,1226,waldron area schools
62,62,4375,885,niles cedar lane
54,65,4376,1440,southfield christian school
67,77,4377,518,harper woods high school
54,69,4378,834,milford high school
63,50,4379,1058,royal oak high school
50,67,4380,638,jonesville pathways
54,69,4381,556,holland high school
50,56,4382,91,beekman center
53,63,4383,384,edison
55,69,4384,794,martin luther king jr senior high school
67,77,4385,890,north branch high school
48,61,4386,97,bellevue jrsr high school
53,67,4387,1249,way oasis
55,73,4388,15,adlai stevenson high school
64,84,4389,1385,jackson christian middle/high school
70,73,4390,323,dearborn high school
65,76,4391,475,grand ledge high school
70,79,4392,900,north muskegon high school
74,81,4393,476,grand rapids learning center
65,76,4394,1285,white cloud high school
61,67,4395,341,detroit school of arts
61,69,4396,24,akronfairgrove jrsr high school
56,55,4397,550,hill center
60,61,4398,514,harbor high school
62,74,4399,1096,south lyon high school
60,56,4400,770,malc
63,70,4401,980,pewamowestphalia middlehigh school
50,62,4402,705,learning center
74,64,4403,739,link learning howard citytri county
61,80,4404,1380,huron valley lutheran high school
54,69,4405,287,concord high school
60,73,4406,613,ishpeming high school
42,59,4407,574,howell high school
62,69,4408,1207,vanderbilt area school
38,74,4409,417,flex high burton
65,76,4410,212,center line high school
68,69,4411,406,farmington high school
50,67,4412,933,olivet high school
45,49,4413,332,detention center
50,62,4415,655,kelloggsville virtual school
60,75,4416,1311,ypsilanti stemm middle college
53,64,4417,556,holland high school
46,54,4418,130,bradford academy
62,74,4419,194,carrollton high school
52,56,4420,1202,utica high school
76,83,4421,1244,waterford kettering high school
60,73,4422,961,parchment high school
54,80,4423,44,ann arbor learning community
53,74,4424,643,kalamazoo central high school
55,69,4425,770,malc
62,74,4426,484,grandville high school
50,67,4427,1069,saline high school
78,100,4428,1450,the leelanau school
80,79,4429,863,muskegon heights academy
59,53,4430,1332,cabrini high school
73,77,4431,1422,oakland christian school
54,57,4432,341,detroit school of arts
67,74,4433,151,buchanan step up
54,69,4434,1133,sturgis high school
62,74,4435,149,brown city high school
60,73,4436,442,fruitport high school
71,80,4437,849,morley stanwood high school
57,65,4438,880,newberry area school
67,59,4439,91,beekman center
60,51,4440,341,detroit school of arts
71,47,4441,1045,rochester adams high school
57,59,4442,418,flex high north flint
55,56,4443,130,bradford academy
56,52,4444,1023,redford union virtual learning
53,69,4445,82,bay pines center
85,76,4446,1258,way south haven
75,69,4447,476,grand rapids learning center
54,82,4448,144,brimley area school
60,73,4449,1047,rochester high school
57,71,4450,527,hartland high school
53,56,4451,1151,taylor virtual learning academy
80,75,4452,1411,muskegon catholic central
62,56,4453,694,lamphere center
52,59,4454,1410,munising baptist school
59,57,4455,323,dearborn high school
60,73,4456,1058,royal oak high school
57,71,4457,648,kalkaska high school
63,59,4458,69,baraga school
67,57,4459,341,detroit school of arts
65,76,4460,290,constantine high school
50,67,4461,433,fraser high school
56,80,4462,82,bay pines center
65,62,4463,476,grand rapids learning center
49,55,4464,1304,wsc academy ypsilanti campus
61,69,4465,323,dearborn high school
86,77,4466,1254,way east jackson
50,56,4467,1213,veritas
58,84,4468,332,detention center
68,78,4469,103,benton harbor high school
50,67,4470,958,oxford high school
61,74,4471,1116,st clair high school
53,61,4472,1082,shared time
79,85,4473,1369,grand rapids christian high school
76,90,4474,1424,our lady of the lakes catholic school
42,59,4475,172,canton high school
54,60,4476,340,detroit public safety academy
57,71,4477,1007,portland high school
45,64,4478,976,perry high school
60,73,4479,811,menominee high school
65,76,4480,676,lake fenton high school
73,81,4481,1267,west iron county high school
44,55,4482,866,myschoolkent
60,73,4483,1056,roscommon high school
42,62,4484,848,morganshaw school
57,50,4485,9,ace
55,59,4486,815,merritt academy
69,53,4487,122,bloomfield hills high school
60,73,4488,996,plainwell high school
62,74,4489,1112,springport high school
55,56,4490,91,beekman center
62,74,4491,121,blissfield high school
67,56,4492,384,edison
65,76,4493,1294,williamston high school
73,73,4494,621,jackson pathways
54,69,4495,169,calumet high school
79,91,4496,1416,northern michigan christian school
70,85,4497,893,north dickinson school
64,77,4498,1369,grand rapids christian high school
65,76,4499,427,fowlerville high school
50,67,4500,703,lawton high school
46,59,4501,132,brandon high school
57,71,4502,323,dearborn high school
67,67,4503,384,edison
50,67,4504,444,fulton high school
56,67,4505,1246,watersmeet township school
92,92,4506,198,carsonvilleport sanilac hs
57,71,4507,864,muskegon high school
59,67,4508,1257,way niles
45,64,4509,1202,utica high school
64,73,4510,1459,veritas christi catholic h.s.
53,48,4511,1440,southfield christian school
72,77,4512,74,battle creek area learning center
57,73,4513,298,cornerstone jeffersondouglass academy
55,67,4514,790,marshall academy
68,78,4515,207,cedar springs high school
43,50,4516,1318,andrews academy
62,74,4517,748,litchfield high school
70,64,4518,476,grand rapids learning center
60,73,4519,431,frankfort high school
56,63,4520,975,pentwater public school
57,78,4521,543,hesperia high school
82,85,4522,1032,republicmichigamme school
43,54,4523,1012,presque isle academy
56,67,4524,1128,stockbridge jrsr high school
67,81,4525,394,engadine schools
50,64,4526,804,mcbain high school
50,56,4527,866,myschoolkent
51,65,4528,131,branch area careers center
65,76,4529,448,garden city high school
56,59,4530,1323,bedford bible church school
62,53,4531,384,edison
90,100,4532,828,michigan school for the deaf
62,69,4533,201,caseville school k12
