,Unnamed: 0,field,home_plate,foul_ft,fop_ft,foul_pct,match,mat2
157,174,Northville HS,"-83.49344499999999,42.4123981,0",28783.6247217463,95926.1118360564,23.0804951692004,northville hs,['northville hs']
158,175,Norway High School,"-87.9126582,45.7729954,0",25656.2913434254,82222.6595059716,23.782481328765,norway high school,[]
159,176,Novi HS,"-83.4924439,42.4615268,0",23776.2784034203,89712.7950861661,20.9502797690933,novi hs,['novi hs']
160,178,Noway Youth ,"-87.9014622,45.7904849,0",17330.039111709,64305.326850997,21.2285924211156,noway youth ,[]
161,179,Noway Youth ,"-87.9104722,45.7729944,0",9686.76543506021,32295.5533586281,23.0734407088455,noway youth ,[]
162,180,Noway Youth ,"-87.9101182,45.7729103,0",8356.26489114367,32016.1208737712,20.6979714793213,noway youth ,[]
163,181,Oakland University,"-83.2113566,42.6733173,0",40414.3129589534,98649.5986462435,29.0616828567931,oakland university,[]
164,182,Okemos HS,"-84.4559105,42.6876301,0",27678.9893881708,88218.9888394498,23.8822020983058,okemos hs,['okemos hs']
165,183,Old College Field,"-84.489214,42.7326743,0",33043.1562994308,104910.865708493,23.9522964379629,old college field,[]
166,184,Olds Park,"-84.54483380000001,42.7352399,0",22689.7153622069,104238.887163171,17.8759672057922,olds park,[]
167,185,Onsted,"-84.19140640000001,41.99781,0",25174.1666211969,88631.0367476677,22.1204003648256,onsted,['onsted hs']
168,186,Orchard Lake St Marys,"-83.35411000000001,42.5916394,0",27390.7592791902,87970.7104721141,23.7434208650765,orchard lake st marys,[]
169,187,Ovid-Elsie,"-84.3932693,43.0477476,0",24768.0393401179,83750.4276347605,22.8238013589443,ovid-elsie,['ovid-elsie hs']
170,188,Owosso HS,"-84.1622172,43.0168905,0",20192.8047064177,79371.6658243348,20.2811350261544,owosso hs,['owosso hs']
171,189,Parkway Christian School - Baseball - Sterling Heights,"-82.9817171,42.562036,0",18985.5235501574,92907.0004193131,16.9676425882908,parkway christian school - baseball - sterling heights,[]
172,190,Pelson High School,"-84.78913470000001,45.55007209999999,0",17057.566193757,76325.8054476867,18.2661708331238,pelson high school,[]
173,191,Pelson HS - Youth ,"-84.78832079999999,45.5499753,0",9639.31163113829,32049.0041180607,23.1223340590906,pelson hs - youth ,[]
174,192,Pelson HS - Youth ,"-84.789241,45.5497813,0",11164.8384716914,60612.29330868,15.5548685141869,pelson hs - youth ,[]
175,193,Petoskey High School,"-84.93868740000001,45.36723030000001,0",30314.7436588438,91933.2917912423,24.7977348243124,petoskey high school,[]
176,194,Pewamo-Westphalia,"-84.8358807,42.9403371,0",27955.4615577748,84958.4003316888,24.7582193098148,pewamo-westphalia,['pewamo-westphalia hs']
177,195,Plymouth-Canton-Salem,"-83.49864049999999,42.3483182,0",30570.4552893828,92980.9777129216,24.7431005424378,plymouth-canton-salem,[]
178,196,Portage Northern High School,"-85.59873090000001,42.2356888,0",24002.9834792074,89004.5975616695,21.2401533225679,portage northern high school,['portage northern hs']
179,198,Portland High School,"-84.91802490000001,42.882565,0",39688.1179412512,88555.371031973,30.9474720775396,portland high school,[]
180,199,Portland St. Pats,"-84.91077540000001,42.8702585,0",34252.4335187841,129849.264725562,20.8726868065572,portland st. pats,[]
181,200,Richmond High School,"-82.7574992,42.8073051,0",32747.5338020477,88224.2939199665,27.0703802849862,richmond high school,[]
182,202,Rochester Adams,"-83.19984239999999,42.6972168,0",29388.4055595758,93346.113262871,23.9446944849235,rochester adams,['rochester - adams hs']
183,203,Rochester HS,"-83.15624510000001,42.6774369,0",29531.0169105857,88582.2174442848,25.0022929876426,rochester hs,['manchester hs']
184,205,Rockford,"-85.56869709999999,43.0900641,0",33509.4198900434,99484.0565041306,25.1962884184831,rockford,['rockford hs']
185,206,Rudyard HS,"-84.58780230000001,46.2351548,0",26169.112019291,85298.5217220885,23.476870496782,rudyard hs,['rudyard hs']
186,207,Saginaw Heritage HS,"-84.0129481,43.4554596,0",36530.4068269545,103302.149951399,26.1243931088652,saginaw heritage hs,['saginaw - heritage hs']
187,209,Saginaw Heritage HS - Field ,"-84.0135834,43.4547419,0",20533.8024223144,98696.8256647911,17.2219191928714,saginaw heritage hs - field ,[]
188,210,Saginaw Heritage HS Field ,"-84.0135834,43.4547419,0",20533.8024223144,98696.8256647911,17.2219191928714,saginaw heritage hs field ,['saginaw - heritage hs']
189,211,Saginaw Swan Valley - Youth Field,"-84.08623729999999,43.4096575,0",14395.7668150698,56176.7007626647,20.3985595362853,saginaw swan valley - youth field,[]
190,212,Saginaw Swan Valley High School,"-84.0822261,43.4116302,0",21585.1432410511,87095.00070496,19.8611654873902,saginaw swan valley high school,['saginaw - swan valley hs']
191,213,Salem High School,"-83.4972427,42.3458381,0",30247.5193503904,89191.0544827049,25.3247492662283,salem high school,[]
192,214,Sanborn Park - Port Huron,"-82.44334000000001,43.0117653,0",18780.6663229663,95217.7434057131,16.4744985194662,sanborn park - port huron,[]
