Round,Date,Time,Location,Team1,Record1,Team2,Record2,MoreInfo,District,Division
 SemiFin, 6/3/2023, 10:00 AM, Genesee, Dryden ,7-11 , Genesee ,8-6 ,/gameeventdetails/contestid/3961175/schoolid/4014/view/contest,24 ,4
 Final D, 6/3/2023, 12:30 PM, Genesee,  , , Genesee Christian ,5-7 ,/gameeventdetails/contestid/3961176/schoolid/0/view/contest,24 ,4
 Round 1, 5/30/2023, 4:30 PM, Grandville High School - Baseball, Grand Rapids Union ,6-15 , Grandville ,14-11 ,/gameeventdetails/contestid/3960750/schoolid/4518/view/contest, 5 ,1
 SemiFin, 6/3/2023, 9:30 AM, Grandville High School - Baseball,  , , Wyoming ,14-5-1 ,/gameeventdetails/contestid/3960752/schoolid/0/view/contest, 5 ,1
 SemiFin, 6/3/2023, 11:30 AM, Grandville High School - Baseball, Jenison ,16-7 , Byron Center ,16-8 ,/gameeventdetails/contestid/3960751/schoolid/4126/view/contest, 5 ,1
 SemiFin, 6/3/2023, 9:30 AM, Lowell High School (Baseball Diamond), Caledonia ,8-13 , East Kentwood ,2-9 ,/gameeventdetails/contestid/3960755/schoolid/4203/view/contest, 6 ,1
 SemiFin, 6/3/2023, 12:00 PM, Lowell High School (Baseball Diamond), Grand Rapids Forest Hills Central ,13-7 , Lowell ,13-13 ,/gameeventdetails/contestid/3960754/schoolid/4311/view/contest, 6 ,1
 Round 1, 5/30/2023, 4:00 PM, North Marquette Fields, Mount Pleasant ,15-6-1 , Alpena ,13-2 ,/gameeventdetails/contestid/3960734/schoolid/4354/view/contest, 1 ,1
 SemiFin, 6/3/2023, 11:00 AM, North Marquette Fields,  , , Traverse City Central ,4-6 ,/gameeventdetails/contestid/3960736/schoolid/0/view/contest, 1 ,1
 SemiFin, 6/3/2023, 1:00 PM, North Marquette Fields, Traverse City West ,8-6 , Marquette ,7-6 ,/gameeventdetails/contestid/3960735/schoolid/4650/view/contest, 1 ,1
 Round 1, 5/30/2023, 4:00 PM, H H Dow High School - Baseball - Midland, Bay City Western ,16-0-1 , Midland ,18-9 ,/gameeventdetails/contestid/3960738/schoolid/4117/view/contest, 2 ,1
 SemiFin, 6/3/2023, 10:00 AM, H H Dow High School - Baseball - Midland,  , , Saginaw Heritage ,14-12-1 ,/gameeventdetails/contestid/3960740/schoolid/0/view/contest, 2 ,1
 SemiFin, 6/3/2023, 12:00 PM, H H Dow High School - Baseball - Midland, Bay City Central ,10-11-1 , Midland Dow ,14-10 ,/gameeventdetails/contestid/3960739/schoolid/4299/view/contest, 2 ,1
 Round 1, 5/30/2023, 4:30 PM, Newaygo Baseball Field, Alma ,9-9 , Howard City Tri County ,2-18 ,/gameeventdetails/contestid/3960861/schoolid/3987/view/contest,37 ,2
 SemiFin, 6/3/2023, 10:00 AM, Newaygo Baseball Field,  , , Grant ,7-13-1 ,/gameeventdetails/contestid/3960863/schoolid/0/view/contest,37 ,2
 SemiFin, 6/3/2023, 12:00 PM, Newaygo Baseball Field, Newaygo ,14-9-2 , Fremont ,6-10 ,/gameeventdetails/contestid/3960862/schoolid/4357/view/contest,37 ,2
 Round 1, 5/30/2023, 5:00 PM, Oakridge HS Baseball Field (Eagle Field) - Muskegon, Spring Lake ,14-9 , Muskegon Orchard View ,3-18-2 ,/gameeventdetails/contestid/3960865/schoolid/4244/view/contest,38 ,2
 SemiFin, 6/3/2023, 10:00 AM, Oakridge HS Baseball Field (Eagle Field) - Muskegon,  , , Muskegon Oakridge ,9-7 ,/gameeventdetails/contestid/3960867/schoolid/0/view/contest,38 ,2
 SemiFin, 6/3/2023, 12:00 PM, Oakridge HS Baseball Field (Eagle Field) - Muskegon, Whitehall ,17-9 , Fruitport ,9-12 ,/gameeventdetails/contestid/3960866/schoolid/4205/view/contest,38 ,2
 SemiFin, 6/2/2023, 10:00 AM, Al Ness Field (Al Ness) - Escanaba, Kingsford ,5-3 , Escanaba ,12-3 ,/gameeventdetails/contestid/3960848/schoolid/4108/view/contest,33 ,2
 SemiFin, 6/2/2023, 12:30 PM, Al Ness Field (Al Ness) - Escanaba, Houghton ,10-1 , Sault Ste Marie ,6-4 ,/gameeventdetails/contestid/3960847/schoolid/4338/view/contest,33 ,2
 SemiFin, 6/3/2023, 11:00 AM, Gaylord Varsity Baseball Field, Gaylord ,9-5-1 , Petoskey ,8-8 ,/gameeventdetails/contestid/3960851/schoolid/4095/view/contest,34 ,2
 SemiFin, 6/3/2023, 1:00 PM, Gaylord Varsity Baseball Field, Ogemaw Heights ,7-7 , Cheboygan ,6-11-1 ,/gameeventdetails/contestid/3960850/schoolid/4066/view/contest,34 ,2
 Round 1, 5/30/2023, 4:00 PM, Shelby Baseball Field, Shelby ,5-12 , Morley Stanwood ,5-11-1 ,/gameeventdetails/contestid/3960974/schoolid/3931/view/contest,69 ,3
 Round 1, 5/30/2023, 4:30 PM, White Cloud High School (Baseball Diamond), White Cloud ,16-8-1 , Mason County Central ,11-6 ,/gameeventdetails/contestid/3960975/schoolid/4394/view/contest,69 ,3
 SemiFin, 6/3/2023, 10:00 AM, Hart Baseball Field,  , , Hesperia ,5-15 ,/gameeventdetails/contestid/3960977/schoolid/0/view/contest,69 ,3
 SemiFin, 6/3/2023, 12:00 PM, Hart Baseball Field, Hart ,8-13 ,  , ,/gameeventdetails/contestid/3960976/schoolid/4149/view/contest,69 ,3
 Round 1, 5/30/2023, 5:00 PM, Traverse City Christian School, Benzie Central ,11-11 , Traverse City St Francis ,12-8-1 ,/gameeventdetails/contestid/3960979/schoolid/4359/view/contest,70 ,3
 SemiFin, 6/3/2023, 10:00 AM, Traverse City Christian School,  , , Manton ,0-9 ,/gameeventdetails/contestid/3960981/schoolid/0/view/contest,70 ,3
 SemiFin, 6/3/2023, 12:00 PM, Traverse City Christian School, Traverse City Christian ,8-4 , Manistee ,14-6 ,/gameeventdetails/contestid/3960980/schoolid/4648/view/contest,70 ,3
 Round 1, 5/30/2023, 6:00 PM, Irontown Field - Negaunee, Calumet ,1-4 , Ishpeming Westwood ,0-4 ,/gameeventdetails/contestid/3960958/schoolid/4495/view/contest,65 ,3
 SemiFin, 6/3/2023, 10:00 AM, Irontown Field - Negaunee,  , , Iron Mountain ,1-10-1 ,/gameeventdetails/contestid/3960960/schoolid/0/view/contest,65 ,3
 SemiFin, 6/3/2023, 12:00 PM, Irontown Field - Negaunee, Negaunee ,5-6 , Hancock ,1-5-1 ,/gameeventdetails/contestid/3960959/schoolid/4343/view/contest,65 ,3
 Round 1, 5/30/2023, 5:00 PM, Gladstone Sports Park, Gladstone ,8-2 , Menominee ,1-8 ,/gameeventdetails/contestid/3960962/schoolid/4383/view/contest,66 ,3
 SemiFin, 6/2/2023, 1:00 PM, Gladstone Sports Park,  , , Manistique ,7-7 ,/gameeventdetails/contestid/3960964/schoolid/0/view/contest,66 ,3
 SemiFin, 6/2/2023, 3:00 PM, Gladstone Sports Park, Eben Junction Superior Central ,1-7 , Newberry ,0-6 ,/gameeventdetails/contestid/3960963/schoolid/4312/view/contest,66 ,3
 Round 1, 5/30/2023, 4:00 PM, L'Anse High School (L'Anse Ball Field) - L'anse, L'Anse ,1-3 , Ironwood ,3-5 ,/gameeventdetails/contestid/3961077/schoolid/4300/view/contest,97 ,4
 Round 1, 5/30/2023, 4:00 PM, Lake Linden-Hubbell High School, Lake Linden-Hubbell ,0-2 , Wakefield-Marenisco ,0-4 ,/gameeventdetails/contestid/3961078/schoolid/4290/view/contest,97 ,4
 SemiFin, 6/2/2023, 11:00 AM, Stanton Baseball Field - Atlantic Mine,  , , Painesdale Jeffers ,10-0 ,/gameeventdetails/contestid/3961080/schoolid/0/view/contest,97 ,4
 SemiFin, 6/2/2023, 12:30 PM, Stanton Baseball Field - Atlantic Mine, Ontonagon ,0-0 ,  , ,/gameeventdetails/contestid/3961079/schoolid/4232/view/contest,97 ,4
 Round 1, 5/30/2023, 1:00 PM, Norway, Powers North Central ,12-4 , Stephenson ,0-2 ,/gameeventdetails/contestid/3961082/schoolid/3946/view/contest,98 ,4
 Round 1, 5/30/2023, 4:00 PM, Norway, Norway ,12-4 , Felch North Dickinson ,0-4 ,/gameeventdetails/contestid/3961083/schoolid/4025/view/contest,98 ,4
 SemiFin, 6/2/2023, 10:00 AM, Norway,  , , Crystal Falls Forest Park ,0-4 ,/gameeventdetails/contestid/3961085/schoolid/0/view/contest,98 ,4
 SemiFin, 6/2/2023, 1:00 PM, Norway, Bark River-Harris ,4-8 ,  , ,/gameeventdetails/contestid/3961084/schoolid/4339/view/contest,98 ,4
 Round 1, 5/30/2023, 4:00 PM, Hillman H.S. - Baseball, Atlanta ,7-9 , Hillman ,15-8 ,/gameeventdetails/contestid/3961102/schoolid/4266/view/contest,03 ,4
 SemiFin, 6/3/2023, 10:00 AM, Hillman H.S. - Baseball,  , , Rogers City ,5-1 ,/gameeventdetails/contestid/3961104/schoolid/0/view/contest,03 ,4
 SemiFin, 6/3/2023, 12:00 PM, Hillman H.S. - Baseball, Posen ,5-11 , Onaway ,7-5 ,/gameeventdetails/contestid/3961103/schoolid/4105/view/contest,03 ,4
 Round 1, 5/30/2023, 4:00 PM, Alcona High School - Baseball, Hale ,2-10 , Au Gres-Sims ,9-10 ,/gameeventdetails/contestid/3961106/schoolid/4568/view/contest,04 ,4
 SemiFin, 6/2/2023, 10:00 AM, Alcona High School - Baseball,  , , Whittemore-Prescott ,3-5 ,/gameeventdetails/contestid/3961108/schoolid/0/view/contest,04 ,4
 SemiFin, TBA, , Alcona High School - Baseball, Alcona ,7-5 , St Helen Charlton Heston Academy ,2-10 ,/gameeventdetails/contestid/3961107/schoolid/4400/view/contest,04 ,4
 Round 1, 5/30/2023, 4:30 PM, Zeeland Baseball Fields (Zeeland West Baseball Diamond - South), Hudsonville ,13-7 , Holland West Ottawa ,12-11-1 ,/gameeventdetails/contestid/3960757/schoolid/4569/view/contest, 7 ,1
 SemiFin, 6/3/2023, 10:00 AM, Zeeland Baseball Fields (Zeeland West Baseball Diamond - South),  , , St Joseph ,8-6 ,/gameeventdetails/contestid/3960759/schoolid/0/view/contest, 7 ,1
 SemiFin, 6/3/2023, 10:00 AM, Zeeland Baseball Fields (Zeeland West Baseball Diamond - South), Zeeland West ,12-7 , Zeeland East ,25-2 ,/gameeventdetails/contestid/3960758/schoolid/4662/view/contest, 7 ,1
 Round 1, 5/30/2023, 4:00 PM, Portage Northern HS - Baseball, Portage Northern ,17-6 , Mattawan ,16-6 ,/gameeventdetails/contestid/3960761/schoolid/4255/view/contest, 8 ,1
 SemiFin, 6/3/2023, 10:00 AM, Portage Northern HS - Baseball,  , , Kalamazoo Central ,16-8 ,/gameeventdetails/contestid/3960763/schoolid/0/view/contest, 8 ,1
 SemiFin, 6/3/2023, 12:00 PM, Portage Northern HS - Baseball, Kalamazoo Loy Norrix ,6-13 , Portage Central ,8-4 ,/gameeventdetails/contestid/3960762/schoolid/4424/view/contest, 8 ,1
