date,game_id,away_team_runs,home_team_runs,game_info
2023-03-28,401517659,0,5,
2023-03-28,401514183,5,2,
2023-03-28,401513265,5,6,
2023-03-28,401519558,4,10,
2023-03-28,401517459,1,14,
2023-03-29,401514141,1,3,
2023-03-29,401519636,12,2,
2023-03-30,401497259,2,5,
2023-03-30,401513179,8,3,
2023-03-30,401497261,6,4,
2023-03-31,401497245,4,6,
2023-03-31,401497242,10,1,
2023-03-31,401513311,9,5,
2023-03-31,401497247,3,13,
2023-03-31,401516649,5,4,
2023-03-31,401497244,2,12,
2023-03-31,401513266,0,11,
2023-03-31,401513125,13,1,
2023-03-31,401501291,4,12,
2023-03-31,401513177,4,3,
2023-03-31,401497243,2,9,
2023-03-31,401497241,12,1,
2023-03-31,401512922,5,6,
2023-03-31,401513033,10,8,
2023-03-31,401497246,6,8,
2023-04-01,401497252,14,7,
2023-04-01,401497249,5,12,
2023-04-01,401513312,10,12,
2023-04-01,401497254,14,5,
2023-04-01,401516650,1,3,
2023-04-01,401497251,0,10,
2023-04-01,401513267,2,3,
2023-04-01,401501295,6,13,
2023-04-01,401513126,7,11,
2023-04-01,401513178,6,5,
2023-04-01,401497250,8,16,
2023-04-01,401497248,6,9,
2023-04-01,401512923,0,10,
2023-04-01,401497253,14,7,
2023-04-02,401497256,8,17,
2023-04-02,401513313,7,12,
2023-04-02,401512924,6,1,
2023-04-02,401513035,5,2,
2023-04-02,401516651,12,24,
2023-04-02,401497258,1,3,
2023-04-02,401513268,4,13,
2023-04-02,401497260,4,5,
2023-04-02,401497257,0,4,
2023-04-02,401497255,4,5,
2023-04-02,401513034,1,9,
2023-04-02,401513127,0,8,
2023-04-02,401501299,4,5,
2023-04-04,401517565,2,12,
2023-04-04,401517524,4,8,
2023-04-04,401513036,0,5,
2023-04-04,401512978,9,13,
2023-04-04,401513228,6,16,
2023-04-04,401516986,1,7,
2023-04-04,401513077,0,12,
2023-04-04,401519559,2,10,
2023-04-04,401517624,2,21,
2023-04-04,401516571,9,10,
2023-04-04,401517676,1,8,
2023-04-04,401517545,6,13,
2023-04-04,401516680,6,15,
2023-04-04,401512925,12,7,
2023-04-04,401513269,3,14,
2023-04-04,401514142,8,9,
2023-04-04,401519637,6,4,
2023-04-04,401516750,7,13,
2023-04-04,401517639,7,2,
2023-04-04,401517504,5,6,
2023-04-06,401497265,5,13,
2023-04-06,401497266,7,6,
2023-04-06,401512926,4,6,
2023-04-06,401501314,7,6,
2023-04-06,401513078,10,8,
2023-04-06,401497262,12,8,
2023-04-06,401497281,6,1,
2023-04-06,401513037,8,1,
2023-04-06,401497264,9,5,
2023-04-07,401497270,8,7,
2023-04-07,401497271,4,5,
2023-04-07,401539522,4,7,
2023-04-07,401497278,7,4,
2023-04-07,401513038,10,6,
2023-04-07,401497267,1,11,
2023-04-07,401513079,11,2,
2023-04-07,401497274,12,6,
2023-04-07,401497277,9,3,
2023-04-07,401497268,11,2,
2023-04-07,401513270,2,14,
2023-04-07,401512927,8,9,
2023-04-07,401513039,4,8,
2023-04-07,401501305,5,6,
2023-04-07,401497269,9,10,
2023-04-08,401497279,2,14,
2023-04-08,401497273,6,4,
2023-04-08,401501310,5,12,
2023-04-08,401497276,5,0,
2023-04-08,401513271,5,6,
2023-04-08,401512928,2,4,
2023-04-08,401501309,6,5,
2023-04-08,401497272,8,4,
2023-04-09,401512981,4,6,
2023-04-09,401513272,3,6,
2023-04-09,401539890,2,6,
2023-04-09,401539657,5,2,
2023-04-09,401512980,3,6,
2023-04-09,401497282,0,3,
2023-04-09,401539517,2,8,
2023-04-09,401513316,1,3,
2023-04-11,401517566,11,5,
2023-04-11,401516599,3,5,
2023-04-11,401517487,5,21,
2023-04-11,401516779,0,18,
2023-04-11,401513040,6,10,
2023-04-11,401513081,7,6,
2023-04-11,401523872,8,12,
2023-04-11,401517625,7,3,
2023-04-11,401514143,5,8,
2023-04-11,401513317,7,3,
2023-04-11,401523850,10,1,
2023-04-11,401517677,2,14,
2023-04-11,401514201,2,7,
2023-04-11,401539513,4,5,
2023-04-11,401517660,2,14,
2023-04-11,401516988,9,3,
2023-04-11,401516681,0,19,
2023-04-11,401512982,3,12,
2023-04-11,401513232,8,1,
2023-04-11,401519560,0,13,
2023-04-11,401516572,5,1,
2023-04-11,401517640,11,9,
2023-04-12,401517488,11,4,
2023-04-12,401540951,2,14,
2023-04-12,401516780,4,16,
2023-04-12,401517641,4,13,
2023-04-13,401497300,6,16,
2023-04-13,401497302,5,13,
2023-04-13,401513041,5,4,
2023-04-14,401497286,13,10,
2023-04-14,401497285,13,11,
2023-04-14,401497284,2,5,
2023-04-14,401516654,6,4,
2023-04-14,401514172,14,6,
2023-04-14,401497287,3,2,Super Bulldog Weekend
2023-04-14,401512983,3,14,
2023-04-14,401512930,11,5,
2023-04-14,401497289,14,6,
2023-04-14,401513130,7,5,
2023-04-14,401513318,7,10,
2023-04-14,401501316,5,4,
2023-04-14,401497288,1,13,
2023-04-14,401497283,8,4,
2023-04-14,401513082,10,4,
2023-04-15,401497293,6,7,
2023-04-15,401497292,1,2,
2023-04-15,401497291,3,6,
2023-04-15,401516655,6,9,
2023-04-15,401514173,5,17,
2023-04-15,401497294,7,8,Super Bulldog Weekend
2023-04-15,401513083,1,5,
2023-04-15,401512984,3,4,
2023-04-15,401501320,6,1,
2023-04-15,401512931,3,0,
2023-04-15,401497296,5,8,
2023-04-15,401513043,4,3,
2023-04-15,401497295,13,5,
2023-04-15,401513319,1,13,
2023-04-15,401497290,2,4,
2023-04-16,401512932,2,7,
2023-04-16,401497303,4,6,
2023-04-16,401513132,5,8,
2023-04-16,401512985,4,5,
2023-04-16,401497301,3,5,Super Bulldog Weekend
2023-04-16,401497299,6,11,
2023-04-16,401497298,2,7,
2023-04-16,401516656,6,2,
2023-04-16,401514174,12,6,
2023-04-16,401513320,2,9,
2023-04-16,401513084,4,6,
2023-04-16,401501324,21,18,
2023-04-16,401497297,1,6,
2023-04-18,401517567,8,5,
2023-04-18,401517678,10,2,
2023-04-18,401514202,4,10,
2023-04-18,401513273,6,12,
2023-04-18,401512986,7,22,
2023-04-18,401513233,5,4,
2023-04-18,401523851,6,7,
2023-04-18,401517642,6,3,
2023-04-18,401516752,8,23,
2023-04-18,401517525,7,17,
2023-04-18,401517489,3,6,
2023-04-18,401517547,2,13,
2023-04-18,401513044,3,5,
2023-04-18,401513085,3,7,
2023-04-18,401516682,0,7,
2023-04-18,401517661,12,5,
2023-04-18,401523871,3,13,
2023-04-18,401519561,3,4,
2023-04-18,401514175,9,6,
2023-04-18,401514145,4,19,
2023-04-19,401513086,1,2,
2023-04-19,401516573,3,13,
2023-04-20,401497321,3,13,
2023-04-20,401497312,5,6,
2023-04-21,401497309,7,3,
2023-04-21,401497307,2,5,
2023-04-21,401497305,3,7,
2023-04-21,401501329,2,1,
2023-04-21,401513045,9,8,
2023-04-21,401512987,10,2,
2023-04-21,401497304,6,4,
2023-04-21,401513134,0,3,
2023-04-21,401497310,3,4,
2023-04-21,401513087,7,10,
2023-04-21,401512934,9,10,
2023-04-21,401513275,2,4,
2023-04-21,401497306,1,2,
2023-04-22,401497316,8,4,
2023-04-22,401497314,5,7,
2023-04-22,401497319,8,9,
2023-04-22,401512935,6,7,
2023-04-22,401543391,8,7,
2023-04-22,401501337,6,4,
2023-04-22,401497313,11,10,
2023-04-22,401497311,10,4,
2023-04-22,401512988,9,7,
2023-04-22,401513135,23,4,
2023-04-22,401497317,1,17,
2023-04-22,401497315,6,3,
2023-04-22,401501333,9,6,
2023-04-22,401513046,9,4,
2023-04-22,401501332,14,3,
2023-04-23,401497323,7,6,
2023-04-23,401497324,5,10,
2023-04-23,401513089,2,10,
2023-04-23,401497322,1,8,
2023-04-23,401513277,9,5,
2023-04-23,401512989,8,5,
2023-04-23,401497320,11,12,
2023-04-23,401543812,4,5,
2023-04-23,401512936,3,4,
2023-04-23,401543832,7,9,
2023-04-23,401513047,6,2,
2023-04-23,401501336,8,3,
2023-04-23,401497318,3,2,
2023-04-25,401517568,6,5,
2023-04-25,401517526,2,6,
2023-04-25,401516782,4,7,
2023-04-25,401512937,7,0,
2023-04-25,401514176,5,8,
2023-04-25,401517662,1,19,
