teamName,games_played,runs_scored_mean,runs_scored_median,runs_scored_total,runs_allowed_count,runs_allowed_mean,runs_allowed_median,runs_allowed_total,A_runs_scored,H_runs_scored,A_runs_allowed,H_runs_allowed,games,run_differential_home,run_differential_away,run_differential,runs_scored_avg,runs_allowed_avg,runs_scored_avg_home,runs_scored_avg_away,runs_allowed_avg_home,runs_allowed_avg_away,run_differential_avg,home_runs_scored_avg,home_runs_allowed_avg,home_run_differential_avg,away_runs_scored_avg,away_runs_allowed_avg,loss_playoff,win_playoff,wins_playoff,losses_playoff,games_playoff,runs_scored_playoff,runs_allowed_playoff,run_differential_playoff
Ludington,29,4.344827586206897,4.0,126.0,29,5.172413793103448,4.0,150.0,81.0,45.0,74.0,76.0,29,-31.0,7.0,-24.0,4.344827586206897,5.172413793103448,1.5517241379310345,2.793103448275862,2.6206896551724137,2.5517241379310347,-0.8275862068965517,1.5517241379310345,2.6206896551724137,-1.0689655172413792,2.793103448275862,2.5517241379310347,1.0,0.0,0.0,1.0,1.0,0.0,8.0,-8.0
Lutheran Westland,25,3.88,2.0,97.0,25,10.24,11.0,256.0,46.0,51.0,113.0,143.0,25,-92.0,-67.0,-159.0,3.88,10.24,2.04,1.84,5.72,4.52,-6.36,2.04,5.72,-3.68,1.84,4.52,1.0,2.0,2.0,1.0,3.0,29.0,16.0,4.333333333333333
Mackinaw City,39,7.615384615384615,7.0,297.0,39,3.5128205128205128,2.0,137.0,132.0,165.0,66.0,71.0,39,94.0,66.0,160.0,7.615384615384615,3.5128205128205128,4.230769230769231,3.3846153846153846,1.8205128205128205,1.6923076923076923,4.102564102564102,4.230769230769231,1.8205128205128205,2.41025641025641,3.3846153846153846,1.6923076923076923,1.0,1.0,1.0,1.0,2.0,7.0,16.0,-4.5
Macomb Dakota,20,6.35,5.0,127.0,20,3.25,2.5,65.0,48.0,79.0,28.0,37.0,20,42.0,20.0,62.0,6.35,3.25,3.95,2.4,1.85,1.4,3.1,3.95,1.85,2.1,2.4,1.4,1.0,5.0,5.0,1.0,6.0,44.0,16.0,4.666666666666667
Macomb L'Anse Creuse North,29,6.241379310344827,5.0,181.0,29,5.103448275862069,5.0,148.0,95.0,86.0,75.0,73.0,29,13.0,20.0,33.0,6.241379310344827,5.103448275862069,2.9655172413793105,3.2758620689655173,2.5172413793103448,2.586206896551724,1.1379310344827587,2.9655172413793105,2.5172413793103448,0.4482758620689655,3.2758620689655173,2.586206896551724,1.0,2.0,2.0,1.0,3.0,6.0,12.0,-2.0
Macomb Lutheran North,25,5.08,3.0,127.0,25,3.56,3.0,89.0,65.0,62.0,39.0,50.0,25,12.0,26.0,38.0,5.08,3.56,2.48,2.6,2.0,1.56,1.52,2.48,2.0,0.48,2.6,1.56,1.0,2.0,2.0,1.0,3.0,16.0,10.0,2.0
Madison Heights Bishop Foley,26,5.538461538461538,4.5,144.0,26,5.615384615384615,3.0,146.0,38.0,106.0,30.0,116.0,26,-10.0,8.0,-2.0,5.538461538461538,5.615384615384615,4.076923076923077,1.4615384615384615,4.461538461538462,1.1538461538461537,-0.07692307692307693,4.076923076923077,4.461538461538462,-0.38461538461538464,1.4615384615384615,1.1538461538461537,1.0,2.0,2.0,1.0,3.0,23.0,4.0,6.333333333333333
Madison Heights Lamphere,25,7.08,5.0,177.0,25,4.28,3.0,107.0,104.0,73.0,73.0,34.0,25,39.0,31.0,70.0,7.08,4.28,2.92,4.16,1.36,2.92,2.8,2.92,1.36,1.56,4.16,2.92,1.0,3.0,3.0,1.0,4.0,34.0,13.0,5.25
Madison Heights Madison,12,3.25,1.0,39.0,12,13.083333333333334,13.5,157.0,24.0,15.0,96.0,61.0,12,-46.0,-72.0,-118.0,3.25,13.083333333333334,1.25,2.0,5.083333333333333,8.0,-9.833333333333334,1.25,5.083333333333333,-3.8333333333333335,2.0,8.0,1.0,0.0,0.0,1.0,1.0,1.0,9.0,-8.0
Mancelona,18,4.777777777777778,4.0,86.0,18,7.166666666666667,8.0,129.0,73.0,13.0,88.0,41.0,18,-28.0,-15.0,-43.0,4.777777777777778,7.166666666666667,0.7222222222222222,4.055555555555555,2.2777777777777777,4.888888888888889,-2.388888888888889,0.7222222222222222,2.2777777777777777,-1.5555555555555556,4.055555555555555,4.888888888888889,1.0,0.0,0.0,1.0,1.0,0.0,15.0,-15.0
Manchester,20,7.8,6.0,156.0,20,5.85,5.0,117.0,37.0,119.0,36.0,81.0,20,38.0,1.0,39.0,7.8,5.85,5.95,1.85,4.05,1.8,1.95,5.95,4.05,1.9,1.85,1.8,1.0,0.0,0.0,1.0,1.0,0.0,1.0,-1.0
Manistee,36,6.277777777777778,4.0,226.0,36,4.5,2.0,162.0,141.0,85.0,74.0,88.0,36,-3.0,67.0,64.0,6.277777777777778,4.5,2.361111111111111,3.9166666666666665,2.4444444444444446,2.0555555555555554,1.7777777777777777,2.361111111111111,2.4444444444444446,-0.08333333333333333,3.9166666666666665,2.0555555555555554,1.0,1.0,1.0,1.0,2.0,7.0,9.0,-1.0
Manistee Catholic Central,7,1.4285714285714286,1.0,10.0,7,10.857142857142858,9.0,76.0,8.0,2.0,48.0,28.0,7,-26.0,-40.0,-66.0,1.4285714285714286,10.857142857142858,0.2857142857142857,1.1428571428571428,4.0,6.857142857142857,-9.428571428571429,0.2857142857142857,4.0,-3.7142857142857144,1.1428571428571428,6.857142857142857,1.0,0.0,0.0,1.0,1.0,1.0,7.0,-6.0
Manistique,17,5.0588235294117645,3.0,86.0,17,7.117647058823529,6.0,121.0,27.0,59.0,73.0,48.0,17,11.0,-46.0,-35.0,5.0588235294117645,7.117647058823529,3.4705882352941178,1.588235294117647,2.823529411764706,4.294117647058823,-2.0588235294117645,3.4705882352941178,2.823529411764706,0.6470588235294118,1.588235294117647,4.294117647058823,1.0,0.0,0.0,1.0,1.0,3.0,15.0,-12.0
Manton,12,1.0833333333333333,0.5,13.0,12,12.666666666666666,13.0,152.0,11.0,2.0,107.0,45.0,12,-43.0,-96.0,-139.0,1.0833333333333333,12.666666666666666,0.16666666666666666,0.9166666666666666,3.75,8.916666666666666,-11.583333333333334,0.16666666666666666,3.75,-3.5833333333333335,0.9166666666666666,8.916666666666666,1.0,0.0,0.0,1.0,1.0,0.0,12.0,-12.0
Maple City Glen Lake,38,10.289473684210526,12.5,391.0,38,2.1315789473684212,1.0,81.0,174.0,217.0,53.0,28.0,38,189.0,121.0,310.0,10.289473684210526,2.1315789473684212,5.7105263157894735,4.578947368421052,0.7368421052631579,1.394736842105263,8.157894736842104,5.7105263157894735,0.7368421052631579,4.973684210526316,4.578947368421052,1.394736842105263,1.0,3.0,3.0,1.0,4.0,31.0,16.0,3.75
Marcellus,29,6.413793103448276,5.0,186.0,29,10.551724137931034,11.0,306.0,46.0,140.0,97.0,209.0,29,-69.0,-51.0,-120.0,6.413793103448276,10.551724137931034,4.827586206896552,1.5862068965517242,7.206896551724138,3.3448275862068964,-4.137931034482759,4.827586206896552,7.206896551724138,-2.3793103448275863,1.5862068965517242,3.3448275862068964,1.0,0.0,0.0,1.0,1.0,0.0,15.0,-15.0
Marcellus Howardsville Christian,0,,,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
Marine City,26,7.538461538461538,6.5,196.0,26,2.8846153846153846,3.0,75.0,99.0,97.0,47.0,28.0,26,69.0,52.0,121.0,7.538461538461538,2.8846153846153846,3.730769230769231,3.8076923076923075,1.0769230769230769,1.8076923076923077,4.653846153846154,3.730769230769231,1.0769230769230769,2.6538461538461537,3.8076923076923075,1.8076923076923077,1.0,2.0,2.0,1.0,3.0,15.0,10.0,1.6666666666666667
