school_name,school_abrv,school_nickname,street_address,city,state,zip_code,ncaa_member_since,hbcu_status,public_private_status,head_coach,division,conference
Baylor University,BU,Bears,1311 S 5th St,Waco,TX,76706,9/1/1922,No,Private,Mitch Thompson,I,Big 12 Conference
Beloit College,BC,Buccaneers,700 College Street,Beloit,WI,53511-5595,9/1/1937,No,Private,Dave DeGeorge,III,Midwest Conference
Bemidji State University,BSU,Beavers,1500 Birchmont Dr. NE,Bemidji,MN,56601-2699,9/1/1979,No,Public,Matthew Ellinghuysen,II,Northern Sun Intercollegiate Conference
Benedict College,BC,"Tigers, Lady Tigers",1600 Harden Street,Columbia,SC,29204,9/1/1998,Yes,Private,Selwyn Young,II,Southern Intercol. Ath. Conf.
Bentley University,BEN,Falcons,175 Forest Street,Waltham,MA,02452,9/1/1967,No,Private,Michael Hill,II,Northeast-10 Conference
Baruch College,Baruch,Bearcats,1 Bernard Baruch Way,New York,NY,10010,9/1/1972,No,Public,Jose Torres,III,City University of New York Athletic Conference
Bethany College,West Virginia,Bison,31 East Campus Drive,Bethany,WV,26032,9/1/1970,No,Private,Justin Thomas,III,Presidents' Athletic Conference
Bethel University,Minnesota,Royals,3900 Bethel Drive,St. Paul,MN,55112-6999,9/1/1982,No,Private,Brian Raabe,III,Minnesota Intercollegiate Athletic Conference
Bethune-Cookman University,BCU,Wildcats,640 Dr. Mary McLeod Bethune Blvd.,Daytona Beach,FL,32114,9/1/1952,Yes,Private,Jonathan Hernandez,I,Southwestern Athletic Conf.
Binghamton University,BU,Bearcats,4400 Vestal Parkway East,Vestal,NY,13850,9/1/1968,No,Public,Tim Sinicki,I,America East Conference
Bloomsburg University of Pennsylvania,BU,Huskies,400 E. 2nd Street,Bloomsburg,PA,17815,9/1/1952,No,Public,Mike Collins,II,Pennsylvania State Athletic Conference
Boston College,BC,Eagles,140 Commonwealth Avenue,Chestnut Hill,MA,02467-3861,9/1/1921,No,Private,Michael Gambino,I,Atlantic Coast Conference
Bowdoin College,BOW,Polar Bears,225 Maine Street,Brunswick,ME,04011,9/1/1914,No,Private,Michael Connolly,III,New England Small College Athletic Conference
Bowling Green State University,BGSU,Falcons,1610 Stadium Drive,Bowling Green,OH,43403,9/1/1941,No,Public,Kyle Hallock,I,Mid-American Conference
Bradley University,BU,Braves,1501 West Bradley Avenue,Peoria,IL,61625,9/1/1926,No,Private,Elvis Dominguez,I,Missouri Valley Conference
University of Bridgeport,UB,Purple Knights,126 Park Avenue,Bridgeport,CT,06604,9/1/1955,No,Private,Joseph Tonelli,II,Central Atlantic Collegiate Conference
Bridgewater College,Virginia,Eagles,402 East College Street,Bridgewater,VA,22812-1599,9/1/1958,No,Private,Ben Spotts,III,Old Dominion Athletic Conf.
Bridgewater State University,BSU,Bears,131 Summer Street,Bridgewater,MA,02325,9/1/1960,No,Public,Greg Zackrison,III,Massachusetts State Collegiate Athletic Conference
Brigham Young University,BYU,Cougars/ Cougs,Main Campus,Provo,UT,84602,9/1/1939,No,Private,Trent Pratt,I,Big 12 Conference
Brown University,BU,Bears,1 Prospect St,Providence,RI,02912,9/1/1929,No,Private,Grant Achilles,I,The Ivy League
Bryant University,BU,Bulldogs,1150 Douglas Pike,Smithfield,RI,02917,9/1/1967,No,Private,Ryan Klosterman,I,America East Conference
Bucknell University,BU,Bison,1 Dent Dr1,Lewisburg,PA,17837,9/1/1950,No,Private,Scott Heather,I,Patriot League
Buena Vista University,BVU,Beavers,610 West 4th Street,Storm Lake,IA,50588-9990,9/1/1976,No,Private,Steve Eddie,III,American Rivers Conference
Butler University,BU,Bulldogs,4600 Sunset Avenue,Indianapolis,IN,46208,9/1/1923,No,Private,Blake Beemer,I,Big East Conference
California Institute of Technology,CIT,Beavers,1200 E. California Boulevard,Pasadena,CA,91125,9/1/1954,No,Private,Kevin Whitehead,III,Southern California Intercollegiate Athletic Conf.
California Polytechnic State University,CP,Mustangs,1 Grand Ave.,San Luis Obispo,CA,93407,9/1/1948,No,Public,Larry Lee,I,Big West Conference
"California State Polytechnic University, Pomona",CPP,Broncos,3801 W. Temple Ave.,Bldg 43-116,Pomona,CA,9/1/1957,No,Public,Randal Betten,II,California Collegiate Athletic Association
"California State University, Dominguez Hills",CSUDH,Toros,1000 E. Victoria St.,Carson,CA,90747,9/1/1980,No,Public,Tyler Wright,II,California Collegiate Athletic Association
"California State University, San Bernardino",CSUSB,Coyotes,5500 University Pky,San Bernardino,CA,92407,9/1/1984,No,Public,Michael Nadeau,II,California Collegiate Athletic Association
"California State University, Bakersfield",CSUB,Roadrunners / Runners,9001 Stockdale Highway,8 GYM,Bakersfield,CA,9/1/1972,No,Public,Jeremy Beard,I,Big West Conference
"California State University, Fresno",CSUF,Bulldogs,5241 North Maple Avenue,Fresno,CA,93740,9/1/1937,No,Public,Ryan Overland,I,Mountain West Conference
"California State University, Fullerton",CSUF,Titans,800 N. State College Blvd.,Fullerton,CA,92831,9/1/1961,No,Public,Jason Dietrich,I,Big West Conference
"California State University, East Bay",CSUEB,Pioneers,25800 Carlos Bee Blvd.,Hayward,CA,94542,9/1/1961,No,Public,Michael Cummins,II,California Collegiate Athletic Association
Long Beach State University,CSULB,The Beach,1250 Bellflower Boulevard,Long Beach,CA,90840-0118,9/1/1955,No,Public,Eric Valenzuela,I,Big West Conference
"California State University, Northridge",CSUN,Matadors,18111 Nordhoff St.,Northridge,CA,91330,9/1/1958,No,Public,Eddie Cornejo,I,Big West Conference
"California State University, Sacramento",CSUS,Hornets,6000 J Street,Sacramento,CA,95819-6099,9/1/1956,No,Public,Reggie Christiansen,I,Western Athletic Conference
"California State University, Stanislaus",STAN,Warriors,One University Circle,Turlock,CA,95382-0299,9/1/1975,No,Public,Kenny Leonesio,II,California Collegiate Athletic Association
"University of California, Santa Barbara",UCSB,Gauchos,5221 Cheadle Hall,Santa Barbara,CA,93106,9/1/1947,No,Public,Andrew Checketts,I,Big West Conference
California Lutheran University,CLU,"Kingsmen, Regals",60 W. Olsen Road,Thousand Oaks,CA,91360-2787,9/1/1985,No,Private,Marty Slimak,III,Southern California Intercollegiate Athletic Conf.
"Pennsylvania Western University, California",Cal U,Vulcans,250 University Avenue,California,PA,15419,9/1/1968,No,Public,Mike Conte,II,Pennsylvania State Athletic Conference
"University of California, Berkeley",Cal,Golden Bears,200 California Hall,Berkeley,CA,94720,9/1/1929,No,Public,Mike Neu,I,Pac-12 Conference
"University of California, Davis",UCD,Aggies,1 Shields Ave,Davis,CA,95616,9/1/1929,No,Public,Tommy Nicholson,I,Big West Conference
"University of California, Irvine",UCI,Anteaters,501 Aldrich Hall,Irvine,CA,92697,9/1/1967,No,Public,Ben Orloff,I,Big West Conference
"University of California, Los Angeles",UCLA,Bruins,405 Hilgard Ave,Los Angeles,CA,90095,9/1/1929,No,Public,John Savage,I,Pac-12 Conference
"University of California, Riverside",UCR,Highlanders,"University of California, Riverside",900 University Ave,Riverside,CA,9/1/1956,No,Public,Justin Johnson,I,Big West Conference
"University of California, San Diego",UCSD,Tritons,9500 Gilman Dr,San Diego,CA,92093,9/1/1968,No,Public,Eric Newman,I,Big West Conference
Campbell University,CU,Fighting Camels/Camels,143 Main St,Buies Creek,NC,27506,9/1/1976,No,Private,Justin Haire,I,Big South Conference
Canisius College,CC,Golden Griffins/ Griffs,2001 Main Street,Buffalo,NY,14208-1098,9/1/1936,No,Private,Matt Mazurek,I,Metro Atlantic Athletic Conference
Capital University,CU,NCAA Applications Administrators,E Main St & College Ave,Bexley,OH,43209,9/1/1954,No,Private,Scott Manahan,III,Ohio Athletic Conference
Carroll University,Wisconsin,Pioneers,100 N. East Ave.,Waukesha,WI,53186,9/1/1976,No,Private,Stein Rear,III,College Conference of Illinois & Wisconsin
Case Western Reserve University,CWRU,Spartans,10900 Euclid Avenue,Cleveland,OH,44106-7223,9/1/1936,No,Private,Matt Englander,III,University Athletic Association
Catholic University,CATHU,Cardinals,"620 Michigan Avenue, NE",Washington,DC,20064,9/1/1915,No,Private,Ross Natoli,III,Landmark Conference
Centenary College,Louisiana,Ladies & Gents,2911 Centenary Blvd.,P.O.Box 41188,Shreveport,LA,9/1/1952,No,Private,Michael Diaz,III,Southern Collegiate Athletic Conference
Central College,Iowa,Dutch,812 University,Pella,IA,50219,9/1/1966,No,Private,Adam Carey,III,American Rivers Conference
Central Connecticut State University,CCSU,Blue Devils,1615 Stanley Street,New Britain,CT,06050,9/1/1963,No,Public,Charlie Hickey,I,Northeast Conference
University of Central Florida,UCF,Knights,4000 Central Florida Boulevard,P.O. Box 163555,Orlando,FL,9/1/1972,No,Public,Greg Lovelady,I,American Athletic Conference
