school,record,wins,losses,ties,match,id
Houghton Lake,3-7,3,7,,Houghton Lake HS,2195
Beaverton,2-3,2,3,,Beaverton HS,5504
Farwell,0-1,0,1,,Farwell Area HS,2955
Standish-Sterling,20-5,20,5,,Standish-Sterling HS,3012
Pinconning,5-3,5,3,,Pinconning Area HS,5405
Tawas,3-1,3,1,,Tawas City - Tawas Area HS,1701
Oscoda,6-1,6,1,,Oscoda HS,1560
Sanford Meridian,1-4,1,4,,Sanford - Meridian Early College HS,5966
LeRoy Pine River,3-5,3,5,,LeRoy - Pine River Area HS,6956
Manton,0-8,0,8,,Manton HS,7087
Lake City,9-14,9,14,,Lake City Area HS,5009
Benzie Central,14-12,14,12,,Benzonia - Benzie Central HS,5883
McBain,1-4,1,4,,McBain - Mc Bain HS,7624
Manistee,3-4,3,4,,Manistee HS,2947
Reed City,21-16-1,21,16,1,Reed City HS,5033
Mason County Central,4-6,4,6,,Scottville - Mason County Central HS,1503
Hart,11-13,11,13,,Hart HS,3805
Evart,3-10,3,10,,Evart HS,4002
Boyne City,5-2,5,2,,Boyne City HS,3053
Mancelona,5-5,5,5,,Mancelona HS,8218
Harbor Springs,1-1,1,1,,Harbor Springs HS,5520
East Jordan,4-3,4,3,,East Jordan HS,1115
