Unnamed: 0,field,level_x,foul_ft,fop_ft,foul_pct,h_lat,h_long,match,school_id,school_name,students,enrollment,division,level_y,level,h_lon
201.0,USA - Unionville Seabawing High School,high_school,27687.0,84002.0,24.79,-83.4644195,43.6938966,Unionville Sebewaing HS,4225.0,Unionville Sebewaing HS,234.0,234.0,C,high_school,,
202.0,Watervliet HS,high_school,29977.0,90757.0,24.83,-86.2497962,42.1861372,Watervliet HS,5578.0,Watervliet HS,399.0,399.0,B,high_school,,
203.0,Waverly High School,high_school,31021.0,88726.0,25.91,-84.6253319,42.7320798,Lansing - Waverly HS,2501.0,Lansing - Waverly HS,999.0,999.0,A,high_school,,
205.0,West Bloomfield HS,high_school,23399.0,95261.0,19.72,-83.3594581,42.5673665,West Bloomfield HS,5140.0,West Bloomfield HS,2052.0,2052.0,A,high_school,,
209.0,Whiteford High School - Ottawa Lake,high_school,34576.0,140217.0,19.78,-83.7011192,41.7665817,Ottawa Lake - Whiteford HS,3755.0,Ottawa Lake - Whiteford HS,257.0,257.0,C,high_school,,
210.0,Whitehall High School,high_school,28215.0,91519.0,23.56,-86.3327856,43.4045055,Whitehall HS,4340.0,Whitehall HS,685.0,685.0,B,high_school,,
211.0,Whitmore Lake High School,high_school,34917.0,93542.0,27.18,-83.7708313,42.3876304,Whitmore Lake HS,3185.0,Whitmore Lake HS,224.0,224.0,C,high_school,,
212.0,Whittemore-Prescott High School,high_school,16955.0,82035.0,17.13,-83.8844484,44.2293306,Whittemore-Prescott HS,1478.0,Whittemore-Prescott HS,230.0,230.0,C,high_school,,
213.0,Williamston High School,high_school,31596.0,90369.0,25.91,-84.28087,42.6987035,Williamston HS,7277.0,Williamston HS,607.0,607.0,B,high_school,,
,Three Rivers - youth,,37424.0,68632.0,35.29,41.95017562301944,,,,,,,,,youth,-85.61362964597308
,Adrian College,,14280.0,106000.0,11.87,41.901861,,,,,,,,,college,-84.0697145
,Albion College ,,28228.0,108727.0,20.61,42.241567,,,,,,,,,college,-84.7373745
,Antrim County -Torch Lake - youth,,106926.0,21536.0,83.24,44.8649571,,,,,,,,,youth,-85.2806507
,Battle Creek - Robert L Nichols Field - muni,,31977.0,103245.0,23.65,42.34172281229348,,,,,,,,,muni,-85.15384899448398
