,field,level,size_factor,foul_ft,fop_ft,foul_pct,h_lon,h_lat,home_plate,min_distance,max_distance,avg_distance,median_distance,match,school_id,id
104,Durand HS,high_school,300,23148.0,87193.0,20.98,-83.9828502156856,42.91682555729714,"42.91682555729714,-83.9828502156856",310.0,372.0,332.0,332.0,Durand Area HS,5165.0,5165
105,East Lansing HS,high_school,300,27525.0,90686.0,23.28,-84.4566176,42.7411198,"42.7411198,-84.4566176",319.0,358.0,340.0,343.0,East Lansing HS,3920.0,3920
106,Eaton Rapid HS Field 2,high_school,300,34107.0,85396.0,28.54,-84.6350135,42.5110331,"42.5110331,-84.6350135",277.0,366.0,330.0,335.0,Eaton Rapids HS,3978.0,3978
107,Eaton Rapids HS,high_school,300,37223.0,101498.0,26.83,-84.63514499999999,42.5118192,"42.5118192,-84.63514499999999",311.0,393.0,356.0,358.0,Eaton Rapids HS,3978.0,3978
108,Ecorse HS,high_school,300,29411.0,78788.0,27.18,-83.149694,42.2528271,"42.2528271,-83.149694",308.0,327.0,320.0,320.0,Ecorse HS,1932.0,1932
109,Edwardsburg HS,high_school,300,30166.0,85216.0,26.14,-86.091742,41.7896252,"41.7896252,-86.091742",309.0,367.0,351.0,364.0,Edwardsburg HS,4175.0,4175
110,Elisabeth Ann Johnson HS (Mt Morris) - Field 1,high_school,300,28289.0,93306.0,23.26,-83.7164168,43.1229182,"43.1229182,-83.7164168",315.0,375.0,344.0,343.0,Mt Morris (EAJ) HS,5603.0,5603
111,Elisabeth Ann Johnson HS (Mt Morris) - Field 2,high_school,300,28888.0,96600.0,23.02,-83.7164216,43.1246877,"43.1246877,-83.7164216",322.0,384.0,350.0,353.0,Mt Morris (EAJ) HS,5603.0,5603
112,Ellsworth HS,high_school,300,29572.0,83274.0,26.21,-85.23970749999999,45.1718499,"45.1718499,-85.23970749999999",299.0,348.0,324.0,323.0,Ellsworth Community HS,5933.0,5933
113,Essexville Garber HS,high_school,300,25204.0,91284.0,21.64,-83.8341762,43.6056341,"43.6056341,-83.8341762",321.0,351.0,340.0,343.0,Essexville - Garber HS,6106.0,6106
114,Fankfort HS,high_school,300,25913.0,89205.0,22.51,-86.22585100000001,44.634408,"44.634408,-86.22585100000001",281.0,390.0,348.0,355.0,Frankfort HS,7558.0,7558
115,Fife Lake Forest Area HS,high_school,300,27263.0,79750.0,25.48,-85.30838559999999,44.6036765,"44.6036765,-85.30838559999999",290.0,364.0,334.0,337.0,Fife Lake - Forest Area HS,5512.0,5512
116,Flint Powers Catholic HS,high_school,300,28677.0,97181.0,22.79,-83.70554999987414,43.00256210626836,"43.00256210626836,-83.70554999987414",313.0,370.0,349.0,354.0,Flint - Powers Catholic HS,2484.0,2484
117,Forrest Hills Eastern HS,high_school,300,34528.0,98244.0,26.01,-85.5286469,43.0058274,"43.0058274,-85.5286469",324.0,385.0,367.0,373.0,Ada - Forest Hills Eastern HS,4506.0,4506
118,Fowlerville HS,high_school,300,19823.0,94791.0,17.3,-84.0655802,42.6688057,"42.6688057,-84.0655802",327.0,361.0,346.0,347.0,Fowlerville HS,7343.0,7343
119,Frankenmuth HS,high_school,300,41898.0,94471.0,30.72,-83.72427279999999,43.3335646,"43.3335646,-83.72427279999999",311.0,385.0,345.0,340.0,Frankenmuth HS,7723.0,7723
120,Fulton HS,high_school,300,37984.0,93098.0,28.98,-84.7132539,43.1757683,"43.1757683,-84.7132539",306.0,364.0,340.0,344.0,Middleton - Fulton HS,7401.0,7401
121,Gabriel Richard HS,high_school,300,22712.0,92645.0,19.69,-83.2089242,42.1817944,"42.1817944,-83.2089242",315.0,369.0,351.0,364.0,Ann Arbor - Father Gabriel Richard HS,8184.0,8184
122,Garber HS Essexville,high_school,300,25668.0,91404.0,21.92,-83.8341769,43.6056339,"43.6056339,-83.8341769",321.0,351.0,340.0,344.0,Essexville - Garber HS,6106.0,6106
123,Gaylord HS,high_school,300,40051.0,102110.0,28.17,-84.66759300789242,45.04792894167389,"45.04792894167389,-84.66759300789242",325.0,382.0,357.0,357.0,Gaylord HS,3284.0,3284
124,Genesee HS,high_school,300,27821.0,81351.0,25.48,-83.620487946976,43.11649557377643,"43.11649557377643,-83.620487946976",297.0,346.0,323.0,323.0,Genesee HS,5677.0,5677
125,Gladstone HS,high_school,300,22978.0,84312.0,21.42,-87.03889359999999,45.85971000000001,"45.85971000000001,-87.03889359999999",299.0,351.0,341.0,350.0,Gladstone HS,6130.0,6130
126,Gladwin HS,high_school,300,26731.0,93477.0,22.24,-84.4919148,43.9902464,"43.9902464,-84.4919148",309.0,379.0,345.0,345.0,Gladwin HS,2253.0,2253
127,Gladwin HS,high_school,300,27688.0,92130.0,23.11,-84.49190674871771,43.99023645826442,"43.99023645826442,-84.49190674871771",305.0,375.0,342.0,343.0,Gladwin HS,2253.0,2253
128,Goodrich HS,high_school,300,33688.0,91640.0,26.88,-83.52947949999999,42.9168576,"42.9168576,-83.52947949999999",308.0,375.0,355.0,371.0,Goodrich HS,8192.0,8192
129,GR West Catholic HS,high_school,300,23866.0,94829.0,20.11,-85.712159,42.9943182,"42.9943182,-85.712159",311.0,393.0,375.0,387.0,Grand Rapids - West Catholic HS,5826.0,5826
130,Grand Blanc HS,high_school,300,26522.0,93196.0,22.15,-83.6283145,42.9187188,"42.9187188,-83.6283145",315.0,375.0,350.0,354.0,Grand Blanc HS,2237.0,2237
131,Grand Ledge HS,high_school,300,28836.0,79361.0,26.65,-84.75398939999999,42.7472938,"42.7472938,-84.75398939999999",301.0,347.0,327.0,330.0,Grand Ledge HS,6213.0,6213
132,Grand Rapids Catholic Central HS,high_school,300,24269.0,96609.0,20.08,-85.60317574198432,42.99578173128182,"42.99578173128182,-85.60317574198432",309.0,365.0,346.0,351.0,Grand Rapids - Catholic Central HS,6238.0,6238
133,Grand Rapids South Christian HS,high_school,300,29155.0,100942.0,22.41,-85.62765071627372,42.81677161100501,"42.81677161100501,-85.62765071627372",314.0,390.0,356.0,360.0,Grand Rapids Christian HS,7062.0,7062
134,Grand Rapids South Christian HS - Field 2,high_school,300,28546.0,101227.0,22.0,-85.6282667,42.8167582,"42.8167582,-85.6282667",315.0,392.0,361.0,368.0,Grand Rapids Christian HS,7062.0,7062
135,Grass Lake HS,high_school,300,28377.0,102503.0,21.68,-84.20108062174253,42.24430486649585,"42.24430486649585,-84.20108062174253",322.0,387.0,357.0,359.0,Grass Lake HS,4431.0,4431
136,Gross Pointe North HS,high_school,300,19075.0,80421.0,19.17,-82.8911176,42.4379668,"42.4379668,-82.8911176",287.0,361.0,325.0,326.0,Grosse Pointe North HS,7822.0,7822
137,Gross Pointe South HS,high_school,300,21527.0,83785.0,20.44,-82.9025228,42.3918844,"42.3918844,-82.9025228",291.0,353.0,326.0,332.0,Grosse Pointe North HS,7822.0,7822
138,Grosse Ile HS,high_school,300,36064.0,93917.0,27.75,-83.1458188,42.1340427,"42.1340427,-83.1458188",333.0,355.0,347.0,348.0,Grosse Ile HS,1528.0,1528
139,Hale HS,high_school,300,30063.0,86435.0,25.81,-83.8022273,44.3813376,"44.3813376,-83.8022273",300.0,364.0,337.0,343.0,Hale HS,8060.0,8060
140,Hamtramck HS,high_school,300,14857.0,81704.0,15.39,-83.0476997,42.3930022,"42.3930022,-83.0476997",312.0,328.0,323.0,324.0,Hamtramck HS,5925.0,5925
